Pos,Name,Straße,Ort,PLZ,Wegbeschreibung,Wichtigkeit
1,Bar des Amis,rue Leon 32,Paris,75018,,
2,Bar Tabac le Rallye,boulevard Barbes 79,Paris,75018,,
3,Les Innocents,Rue Ordener 77,Paris,75018,,
4,La Trincante - Bar À Huîtres Brocante,Rue Eugene Sue 23,Paris,75018,,
5,Le Fontenoy,Rue Eugene Sue 20,Paris,75018,,
6,Bistro Général,Rue Eugène Sue 17,Paris,75018,,
7,Freemousse Bar,Rue Marcadet 76,Paris,75018,,
8,La Terrasse,Rue Marcadet 73,Paris,75018,,
9,Bar Tabac Des Postes,rue de Clignancourt 68,Paris,75018,,
10,Bar Tabac le Flash,boulevard Ornano 25,Paris,75018,,
11,Le Rouge Aux Lèvres,Rue Hermel 50,Paris,75018,,
12,Cafe des potos ,rue du Poteau 8,Paris,75018,,
13,Cafe de la Poste,rue Damremont 76,Paris,75018,,
14,Civette des Arts,rue Damremont 62,Paris,75018,,
15,Le Vizir,Rue Ordener 173,Paris,75018,,
16,Bar l'Alibi,rue Lapeyrere 11,Paris,75018,,
17,Bar Bab Ilo,rue du Baigneur 9,Paris,75018,,
18,Yokoso,Rue Ramey 1,Paris,75018,,
19,l'escale,Rue de Clignancourt 34,Paris,75018,,
20,Bar la Goutte Rouge,rue Polonceau 19,Paris,75018,,
21,Bar Brakadabar,rue Belhomme 8,Paris,75018,,
22,Bar les Flingueurs,boulevard de Rochechouart 108,Paris,75018,,
23,Bar le May Flower,rue Andre Antoine 7,Paris,75018,,
24,Le Bar Fondamental,Rue Andre Antoine 6,Paris,75018,,
25,Marlusse Et Lapin,Rue Germain Pilon 14,Paris,75018,,
26,Bar les Apotres de Pigalle,rue Germain Pilon 2,Paris,75018,,
27,Boris Lumé café pâtisserie,Rue Lepic 28,Paris,75018,,
28,Café Tabac- Cafe Genovese,Rue Ravignan 1bis,Paris,75018,,
29,Café le Nazir,rue des Abbesses 56,Paris,75018,,
30,Dolce Pepone,Rue des Abbesses 65,Paris,75018,,
31,L'Hydropathe,Rue Caulaincourt 41,Paris,75018,,
32,Le Cepage Montmartrois,Rue Caulaincourt 65,Paris,75018,,
33,Les Darons Wine Bar,Rue Caulaincourt 104,Paris,75018,,
34,Cœur Sacré,Rue Saint-Éleuthère 5,Paris,75018,,
35,Starbucks,Rue Norvins 10,Paris,75018,,
36,Au Lapin Agile - Cabaret Artistique - Depuis 1860,Rue des Saules 22,Paris,75018,,
37,Corcoran's Irish Pub,rue Foyatier 45546,Paris,75018,,
38,Helice Bar,rue D Orsel 50,Paris,75018,,
39,Bar l'Arsouille,rue des 3 Freres 22,Paris,75018,,
40,Le Tagada Bar,rue des 3 Freres 40,Paris,75018,,
41,Blackbird Coffee,Rue Des Trois Frères 54,Paris,75018,,
42,Spree Café,Rue La Vieuville 11,Paris,75018,,
43,Bar Moon City,boulevard de Clichy 34,Paris,75018,,
44,Bar à Bulles,cite Veron 4 bis,Paris,75018,,
45,Le Speakart Bar,Rue Caulaincourt 3,Paris,75018,,
46,Bar O'Sullivans By the Mill,boulevard de Clichy 92,Paris,75018,,
47,Scuderia del Mulino,106 Bd de Clichy,Paris,75018,,
48,Bar le Boucan,boulevard de Clichy 108,Paris,75018,,
49,Corcoran‘s,110 Bd de Clichy,Paris,75018,,
50,James Hetfeeld's Pub,boulevard de Clichy 178,Paris,75018,,
51,La Main Noire,Rue Cavallotti 12,Paris,75018,,
52,Bar Tabac la Divette de Clichy,Avenue de Clichy 18,Paris,75018,,
53,Bar le St Claude,Avenue de Clichy 56,Paris,75018,,
54,Bar Tabac Pmu La Rotonde,Avenue de Saint-Ouen 60,Paris,75018,,
55,Bistrot Championnet,Avenue De Saint Ouen 90,Paris,75018,,
56,Le Celtic,Avenue De Saint-ouen 104,Paris,75018,,
57,Bar Lagille,rue Lagille 11,Paris,75018,,
58,Le café de quartier ,rue Championnet 228,Paris,75018,,
59,l'Astrolabe 18,Rue Championnet 230,Paris,75018,,
60,Moow,Rue Ordener 188,Paris,75018,,
61,Bar la Renaissance,Rue Ordener 188,Paris,75018,,
62,O’ frenchy,Avenue De La Prte De Saint-Ouen 10,Paris,75018,,